Source;Target
CHINA;Diagnostico e Protecao Fitossanitaria
ITALY;Assistencia Virtual e Educacao
Nao Informado;Diagnostico e Protecao Fitossanitaria
PORTUGAL;Diagnostico e Protecao Fitossanitaria
GERMANY;Diagnostico e Protecao Fitossanitaria
USA;Assistencia Virtual e Educacao
BRAZIL;IA: Arquiteturas e Metodos
ITALY;Assistencia Virtual e Educacao
USA;Cadeia Produtiva e Qualidade
Nao Informado;Assistencia Virtual e Educacao
ENGLAND;IA: Arquiteturas e Metodos
AFRICA;Assistencia Virtual e Educacao
JAPAN;Robotica e Mecanizacao
GREECE;Assistencia Virtual e Educacao
AUSTRALIA;Mercado Risco e Previsao
INDIA;Assistencia Virtual e Educacao
MOROCCO;Robotica e Mecanizacao
USA;Mercado Risco e Previsao
THAILAND;Visao Computacional e Fenotipagem
INDIA;Mercado Risco e Previsao
ITALY;Clima, Solo e Meio Ambiente
TURKIYE;Mercado Risco e Previsao
INDIA;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
CHINA;Ruido
GERMANY;Robotica e Mecanizacao
USA;Diagnostico e Protecao Fitossanitaria
USA;Assistencia Virtual e Educacao
HUNGARY;Robotica e Mecanizacao
MOROCCO;Assistencia Virtual e Educacao
RWANDA;Assistencia Virtual e Educacao
SWEDEN;IA: Arquiteturas e Metodos
COLOMBIA;Diagnostico e Protecao Fitossanitaria
HUNGARY;Assistencia Virtual e Educacao
CHILE;Assistencia Virtual e Educacao
ENGLAND;IA: Arquiteturas e Metodos
USA;Robotica e Mecanizacao
ITALY;Assistencia Virtual e Educacao
MALAYSIA;Assistencia Virtual e Educacao
ITALY;Ruido
INDIA;Mercado Risco e Previsao
CHINA;IoT e Sensores
TURKIYE;Cadeia Produtiva e Qualidade
CHINA;Ruido
USA;Assistencia Virtual e Educacao
TURKEY;Assistencia Virtual e Educacao
SPAIN;Mercado Risco e Previsao
EMIRATES;Assistencia Virtual e Educacao
INDIA;Assistencia Virtual e Educacao
AUSTRALIA;Assistencia Virtual e Educacao
ENGLAND;Assistencia Virtual e Educacao
USA;Diagnostico e Protecao Fitossanitaria
CHINA;Diagnostico e Protecao Fitossanitaria
INDIA;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
MALAYSIA;Visao Computacional e Fenotipagem
BRAZIL;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
KOREA;Visao Computacional e Fenotipagem
INDIA;Diagnostico e Protecao Fitossanitaria
KENYA;Assistencia Virtual e Educacao
INDIA;Assistencia Virtual e Educacao
TURKEY;Assistencia Virtual e Educacao
FRANCE;Clima, Solo e Meio Ambiente
ARABIA;Assistencia Virtual e Educacao
NETHERLANDS;Diagnostico e Protecao Fitossanitaria
TURKEY;Mercado Risco e Previsao
INDIA;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
BRAZIL;Clima, Solo e Meio Ambiente
ZEALAND;Diagnostico e Protecao Fitossanitaria
CHINA;Mercado Risco e Previsao
TURKEY;Clima, Solo e Meio Ambiente
KOREA;Assistencia Virtual e Educacao
CHINA;Visao Computacional e Fenotipagem
POLAND;Mercado Risco e Previsao
AFRICA;Ruido
PAKISTAN;Assistencia Virtual e Educacao
INDIA;Cadeia Produtiva e Qualidade
ITALY;Cadeia Produtiva e Qualidade
IRELAND;Recursos Hidricos
TURKEY;Robotica e Mecanizacao
CHINA;Assistencia Virtual e Educacao
CHINA;Diagnostico e Protecao Fitossanitaria
BANGLADESH;Assistencia Virtual e Educacao
ITALY;Assistencia Virtual e Educacao
CHINA;Diagnostico e Protecao Fitossanitaria
TURKIYE;Mercado Risco e Previsao
CHINA;Diagnostico e Protecao Fitossanitaria
MALAYSIA;Diagnostico e Protecao Fitossanitaria
SPAIN;Mercado Risco e Previsao
INDIA;Assistencia Virtual e Educacao
USA;Assistencia Virtual e Educacao
MOROCCO;Visao Computacional e Fenotipagem
COLOMBIA;Assistencia Virtual e Educacao
EGYPT;Assistencia Virtual e Educacao
THAILAND;Assistencia Virtual e Educacao
TURKEY;Assistencia Virtual e Educacao
IRAN;IA: Arquiteturas e Metodos
BRAZIL;Ruido
ETHIOPIA;Mercado Risco e Previsao
INDIA;Mercado Risco e Previsao
USA;Robotica e Mecanizacao
INDIA;Robotica e Mecanizacao
BRAZIL;Ruido
USA;Assistencia Virtual e Educacao
MEXICO;Assistencia Virtual e Educacao
CROATIA;Assistencia Virtual e Educacao
ENGLAND;Clima, Solo e Meio Ambiente
THAILAND;Assistencia Virtual e Educacao
ITALY;Diagnostico e Protecao Fitossanitaria
PORTUGAL;Assistencia Virtual e Educacao
ROMANIA;Assistencia Virtual e Educacao
GREECE;Assistencia Virtual e Educacao
NETHERLANDS;Mercado Risco e Previsao
ROMANIA;Cadeia Produtiva e Qualidade
BRAZIL;Assistencia Virtual e Educacao
INDIA;Assistencia Virtual e Educacao
GREECE;Assistencia Virtual e Educacao
USA;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
MEXICO;Diagnostico e Protecao Fitossanitaria
NORWAY;Assistencia Virtual e Educacao
PORTUGAL;Ruido
CHINA;Assistencia Virtual e Educacao
USA;Mercado Risco e Previsao
CANADA;Visao Computacional e Fenotipagem
TURKIYE;Visao Computacional e Fenotipagem
MEXICO;Recursos Hidricos
EGYPT;Visao Computacional e Fenotipagem
ENGLAND;Governanca, Gestao e Impacto Social
RUSSIA;Assistencia Virtual e Educacao
REPUBLIC;Governanca, Gestao e Impacto Social
NORWAY;Mercado Risco e Previsao
GERMANY;Assistencia Virtual e Educacao
ROMANIA;Visao Computacional e Fenotipagem
IRELAND;Assistencia Virtual e Educacao
CANADA;Governanca, Gestao e Impacto Social
USA;Assistencia Virtual e Educacao
CANADA;Assistencia Virtual e Educacao
USA;Assistencia Virtual e Educacao
INDIA;Assistencia Virtual e Educacao
ITALY;Recursos Hidricos
CHINA;Assistencia Virtual e Educacao
PHILIPPINES;Clima, Solo e Meio Ambiente
USA;Assistencia Virtual e Educacao
ENGLAND;Clima, Solo e Meio Ambiente
CHINA;Robotica e Mecanizacao
CANADA;Visao Computacional e Fenotipagem
INDIA;IA: Arquiteturas e Metodos
CHINA;Assistencia Virtual e Educacao
CHINA;Recursos Hidricos
CHINA;Assistencia Virtual e Educacao
CHINA;IA: Arquiteturas e Metodos
CROATIA;Mercado Risco e Previsao
ROMANIA;Assistencia Virtual e Educacao
ISRAEL;Assistencia Virtual e Educacao
ENGLAND;IA: Arquiteturas e Metodos
TURKIYE;Assistencia Virtual e Educacao
BRAZIL;Governanca, Gestao e Impacto Social
USA;Mercado Risco e Previsao
INDIA;Assistencia Virtual e Educacao
USA;Assistencia Virtual e Educacao
BRAZIL;Assistencia Virtual e Educacao
INDIA;Assistencia Virtual e Educacao
ARABIA;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
ITALY;Clima, Solo e Meio Ambiente
BRAZIL;Ruido
CHINA;Assistencia Virtual e Educacao
POLAND;Visao Computacional e Fenotipagem
INDIA;Robotica e Mecanizacao
COLOMBIA;Clima, Solo e Meio Ambiente
CYPRUS;Assistencia Virtual e Educacao
TAIWAN;Assistencia Virtual e Educacao
KOREA;Ruido
INDIA;IA: Arquiteturas e Metodos
MEXICO;Assistencia Virtual e Educacao
SPAIN;Visao Computacional e Fenotipagem
USA;Visao Computacional e Fenotipagem
BRAZIL;Assistencia Virtual e Educacao
MEXICO;Assistencia Virtual e Educacao
IRAN;IA: Arquiteturas e Metodos
CHINA;Mercado Risco e Previsao
CHINA;Assistencia Virtual e Educacao
IRAN;Diagnostico e Protecao Fitossanitaria
USA;Assistencia Virtual e Educacao
COLOMBIA;Assistencia Virtual e Educacao
CANADA;Mercado Risco e Previsao
BRAZIL;Assistencia Virtual e Educacao
INDIA;Robotica e Mecanizacao
INDIA;Assistencia Virtual e Educacao
THAILAND;Assistencia Virtual e Educacao
CANADA;Assistencia Virtual e Educacao
INDIA;Robotica e Mecanizacao
BRAZIL;Assistencia Virtual e Educacao
INDIA;Assistencia Virtual e Educacao
INDIA;Diagnostico e Protecao Fitossanitaria
USA;Robotica e Mecanizacao
EGYPT;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
ITALY;Assistencia Virtual e Educacao
INDIA;Ruido
CHINA;Diagnostico e Protecao Fitossanitaria
TAIWAN;Governanca, Gestao e Impacto Social
CHINA;Diagnostico e Protecao Fitossanitaria
INDIA;Robotica e Mecanizacao
INDIA;Diagnostico e Protecao Fitossanitaria
MALTA;Assistencia Virtual e Educacao
USA;Assistencia Virtual e Educacao
KOREA;Diagnostico e Protecao Fitossanitaria
INDIA;Assistencia Virtual e Educacao
BULGARIA;Diagnostico e Protecao Fitossanitaria
ITALY;Ruido
INDIA;Ruido
CHINA;Assistencia Virtual e Educacao
INDIA;Assistencia Virtual e Educacao
CHINA;Diagnostico e Protecao Fitossanitaria
CHINA;Cadeia Produtiva e Qualidade
INDIA;Diagnostico e Protecao Fitossanitaria
AUSTRIA;Robotica e Mecanizacao
IRAQ;IA: Arquiteturas e Metodos
CANADA;Assistencia Virtual e Educacao
OMAN;Assistencia Virtual e Educacao
INDIA;Mercado Risco e Previsao
INDIA;Assistencia Virtual e Educacao
PORTUGAL;Cadeia Produtiva e Qualidade
INDIA;Assistencia Virtual e Educacao
PERU;Mercado Risco e Previsao
CHINA;Ruido
AFRICA;Mercado Risco e Previsao
MEXICO;Assistencia Virtual e Educacao
ITALY;Mercado Risco e Previsao
AFRICA;Clima, Solo e Meio Ambiente
SCOTLAND;Governanca, Gestao e Impacto Social
CANADA;Assistencia Virtual e Educacao
GERMANY;Diagnostico e Protecao Fitossanitaria
BANGLADESH;Assistencia Virtual e Educacao
INDIA;Assistencia Virtual e Educacao
ENGLAND;Robotica e Mecanizacao
ECUADOR;Assistencia Virtual e Educacao
GERMANY;Diagnostico e Protecao Fitossanitaria
INDIA;Ruido
CHINA;Visao Computacional e Fenotipagem
CHINA;Assistencia Virtual e Educacao
INDIA;Ruido
CHINA;Clima, Solo e Meio Ambiente
INDIA;Assistencia Virtual e Educacao
TURKIYE;Clima, Solo e Meio Ambiente
CHINA;Mercado Risco e Previsao
CHINA;Assistencia Virtual e Educacao
USA;Cadeia Produtiva e Qualidade
INDIA;Assistencia Virtual e Educacao
GERMANY;Ruido
COLOMBIA;Mercado Risco e Previsao
KOREA;IA: Arquiteturas e Metodos
SERBIA;Mercado Risco e Previsao
NIGERIA;Assistencia Virtual e Educacao
TURKIYE;Visao Computacional e Fenotipagem
INDIA;Governanca, Gestao e Impacto Social
USA;Assistencia Virtual e Educacao
CHINA;Mercado Risco e Previsao
TAIWAN;IoT e Sensores
CHINA;Assistencia Virtual e Educacao
CHINA;Diagnostico e Protecao Fitossanitaria
IRELAND;Assistencia Virtual e Educacao
CHINA;Visao Computacional e Fenotipagem
TURKIYE;Assistencia Virtual e Educacao
TAIWAN;Governanca, Gestao e Impacto Social
BANGLADESH;Assistencia Virtual e Educacao
PAKISTAN;Assistencia Virtual e Educacao
INDIA;Clima, Solo e Meio Ambiente
TURKIYE;Assistencia Virtual e Educacao
CHINA;Cadeia Produtiva e Qualidade
USA;IA: Arquiteturas e Metodos
SPAIN;Assistencia Virtual e Educacao
INDIA;Assistencia Virtual e Educacao
CHINA;Mercado Risco e Previsao
INDIA;Diagnostico e Protecao Fitossanitaria
INDIA;Assistencia Virtual e Educacao
INDIA;Diagnostico e Protecao Fitossanitaria
TURKIYE;Assistencia Virtual e Educacao
INDONESIA;Governanca, Gestao e Impacto Social
KOREA;Assistencia Virtual e Educacao
ALGERIA;Mercado Risco e Previsao
INDIA;Assistencia Virtual e Educacao
ARABIA;Assistencia Virtual e Educacao
INDIA;Assistencia Virtual e Educacao
REPUBLIC;Clima, Solo e Meio Ambiente
BRAZIL;Visao Computacional e Fenotipagem
ITALY;Assistencia Virtual e Educacao
MOROCCO;Assistencia Virtual e Educacao
KOREA;Assistencia Virtual e Educacao
DENMARK;Assistencia Virtual e Educacao
USA;Clima, Solo e Meio Ambiente
CROATIA;IoT e Sensores
SPAIN;Assistencia Virtual e Educacao
USA;Assistencia Virtual e Educacao
CROATIA;Robotica e Mecanizacao
INDIA;Assistencia Virtual e Educacao
TURKEY;Mercado Risco e Previsao
INDIA;Cadeia Produtiva e Qualidade
TURKIYE;Mercado Risco e Previsao
NORWAY;Assistencia Virtual e Educacao
MALAYSIA;Assistencia Virtual e Educacao
BRAZIL;Ruido
PORTUGAL;Assistencia Virtual e Educacao
USA;Assistencia Virtual e Educacao
IRELAND;Visao Computacional e Fenotipagem
CHINA;Assistencia Virtual e Educacao
JAPAN;Robotica e Mecanizacao
ARABIA;Assistencia Virtual e Educacao
TUNISIA;Assistencia Virtual e Educacao
ITALY;Assistencia Virtual e Educacao
ZEALAND;Assistencia Virtual e Educacao
ZEALAND;Assistencia Virtual e Educacao
AUSTRALIA;Mercado Risco e Previsao
BANGLADESH;Mercado Risco e Previsao
USA;Diagnostico e Protecao Fitossanitaria
KOREA;Assistencia Virtual e Educacao
MALAYSIA;Diagnostico e Protecao Fitossanitaria
INDIA;Assistencia Virtual e Educacao
PAKISTAN;Assistencia Virtual e Educacao
EMIRATES;Assistencia Virtual e Educacao
INDIA;Assistencia Virtual e Educacao
INDIA;Robotica e Mecanizacao
USA;Assistencia Virtual e Educacao
PERU;Diagnostico e Protecao Fitossanitaria
ITALY;Assistencia Virtual e Educacao
JAPAN;Agricultura de Precisao e Cultivo
TURKIYE;Cadeia Produtiva e Qualidade
INDIA;Assistencia Virtual e Educacao
INDIA;Diagnostico e Protecao Fitossanitaria
USA;Assistencia Virtual e Educacao
COLOMBIA;Mercado Risco e Previsao
AUSTRALIA;Assistencia Virtual e Educacao
USA;Governanca, Gestao e Impacto Social
INDIA;Diagnostico e Protecao Fitossanitaria
INDIA;Ruido
CANADA;Diagnostico e Protecao Fitossanitaria
CHINA;Diagnostico e Protecao Fitossanitaria
CHINA;Assistencia Virtual e Educacao
RUSSIA;Mercado Risco e Previsao
SPAIN;Assistencia Virtual e Educacao
ARGENTINA;IA: Arquiteturas e Metodos
FRANCE;Diagnostico e Protecao Fitossanitaria
TURKIYE;Mercado Risco e Previsao
ITALY;Assistencia Virtual e Educacao
VIETNAM;Governanca, Gestao e Impacto Social
INDIA;Assistencia Virtual e Educacao
SPAIN;Assistencia Virtual e Educacao
CHINA;Mercado Risco e Previsao
CHINA;Assistencia Virtual e Educacao
CANADA;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
CHINA;Diagnostico e Protecao Fitossanitaria
INDIA;Assistencia Virtual e Educacao
CANADA;Assistencia Virtual e Educacao
ECUADOR;Assistencia Virtual e Educacao
JAMAICA;IA: Arquiteturas e Metodos
CHINA;IA: Arquiteturas e Metodos
AUSTRALIA;Assistencia Virtual e Educacao
GREECE;Assistencia Virtual e Educacao
INDIA;Cadeia Produtiva e Qualidade
CANADA;Cadeia Produtiva e Qualidade
CHINA;Robotica e Mecanizacao
AFRICA;Mercado Risco e Previsao
IRELAND;Assistencia Virtual e Educacao
ARABIA;Recursos Hidricos
CHINA;Diagnostico e Protecao Fitossanitaria
TURKIYE;Assistencia Virtual e Educacao
CANADA;Assistencia Virtual e Educacao
POLAND;Assistencia Virtual e Educacao
INDIA;Assistencia Virtual e Educacao
USA;Assistencia Virtual e Educacao
IRAN;Assistencia Virtual e Educacao
CANADA;Assistencia Virtual e Educacao
CHINA;Visao Computacional e Fenotipagem
USA;Assistencia Virtual e Educacao
ITALY;Assistencia Virtual e Educacao
JAPAN;Assistencia Virtual e Educacao
IRAQ;Assistencia Virtual e Educacao
REPUBLIC;Assistencia Virtual e Educacao
INDIA;Visao Computacional e Fenotipagem
CHINA;Clima, Solo e Meio Ambiente
INDIA;Governanca, Gestao e Impacto Social
INDIA;Governanca, Gestao e Impacto Social
IRAN;Robotica e Mecanizacao
JAPAN;Robotica e Mecanizacao
INDIA;Assistencia Virtual e Educacao
ROMANIA;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
INDIA;Assistencia Virtual e Educacao
CHINA;Diagnostico e Protecao Fitossanitaria
TURKIYE;Clima, Solo e Meio Ambiente
SPAIN;Assistencia Virtual e Educacao
BRAZIL;Mercado Risco e Previsao
BRAZIL;Assistencia Virtual e Educacao
ITALY;Assistencia Virtual e Educacao
PAKISTAN;Assistencia Virtual e Educacao
THAILAND;Assistencia Virtual e Educacao
KOREA;Assistencia Virtual e Educacao
JAPAN;Assistencia Virtual e Educacao
INDIA;IoT e Sensores
CHINA;Assistencia Virtual e Educacao
COLOMBIA;Diagnostico e Protecao Fitossanitaria
TURKIYE;Assistencia Virtual e Educacao
INDIA;Diagnostico e Protecao Fitossanitaria
MOROCCO;Diagnostico e Protecao Fitossanitaria
NORWAY;Diagnostico e Protecao Fitossanitaria
SPAIN;Diagnostico e Protecao Fitossanitaria
USA;Assistencia Virtual e Educacao
MOROCCO;Assistencia Virtual e Educacao
ITALY;Diagnostico e Protecao Fitossanitaria
USA;Visao Computacional e Fenotipagem
ARGENTINA;Ruido
TAIWAN;Clima, Solo e Meio Ambiente
USA;Assistencia Virtual e Educacao
CHINA;IoT e Sensores
USA;IA: Arquiteturas e Metodos
USA;Diagnostico e Protecao Fitossanitaria
PHILIPPINES;Assistencia Virtual e Educacao
PAKISTAN;Assistencia Virtual e Educacao
USA;Governanca, Gestao e Impacto Social
GERMANY;Assistencia Virtual e Educacao
CANADA;Assistencia Virtual e Educacao
KOREA;Robotica e Mecanizacao
IRAN;Assistencia Virtual e Educacao
INDIA;Robotica e Mecanizacao
INDIA;Assistencia Virtual e Educacao
BANGLADESH;Diagnostico e Protecao Fitossanitaria
ECUADOR;Assistencia Virtual e Educacao
JAPAN;Assistencia Virtual e Educacao
MEXICO;Assistencia Virtual e Educacao
GERMANY;Assistencia Virtual e Educacao
PERU;Assistencia Virtual e Educacao
GERMANY;Assistencia Virtual e Educacao
USA;Assistencia Virtual e Educacao
SPAIN;Clima, Solo e Meio Ambiente
POLAND;Assistencia Virtual e Educacao
INDIA;Assistencia Virtual e Educacao
AFRICA;Mercado Risco e Previsao
KOREA;Recursos Hidricos
CHINA;IA: Arquiteturas e Metodos
THAILAND;Assistencia Virtual e Educacao
KENYA;Assistencia Virtual e Educacao
INDONESIA;Assistencia Virtual e Educacao
INDIA;IA: Arquiteturas e Metodos
USA;Diagnostico e Protecao Fitossanitaria
FINLAND;Assistencia Virtual e Educacao
PAKISTAN;Assistencia Virtual e Educacao
AFRICA;Assistencia Virtual e Educacao
CHINA;Mercado Risco e Previsao
INDIA;Ruido
INDIA;Assistencia Virtual e Educacao
TANZANIA;Assistencia Virtual e Educacao
EGYPT;Assistencia Virtual e Educacao
EGYPT;Assistencia Virtual e Educacao
INDIA;Assistencia Virtual e Educacao
INDIA;Assistencia Virtual e Educacao
INDIA;Robotica e Mecanizacao
USA;Assistencia Virtual e Educacao
TANZANIA;Mercado Risco e Previsao
ARABIA;Governanca, Gestao e Impacto Social
RWANDA;Diagnostico e Protecao Fitossanitaria
INDIA;Ruido
SCOTLAND;Assistencia Virtual e Educacao
INDIA;Ruido
USA;IA: Arquiteturas e Metodos
CHINA;Assistencia Virtual e Educacao
PORTUGAL;Ruido
INDIA;Assistencia Virtual e Educacao
SENEGAL;Assistencia Virtual e Educacao
HUNGARY;Cadeia Produtiva e Qualidade
INDIA;Diagnostico e Protecao Fitossanitaria
ENGLAND;IA: Arquiteturas e Metodos
INDIA;Diagnostico e Protecao Fitossanitaria
GREECE;Robotica e Mecanizacao
CHINA;Ruido
RUSSIA;Robotica e Mecanizacao
INDIA;Ruido
INDIA;Assistencia Virtual e Educacao
CHINA;Cadeia Produtiva e Qualidade
CANADA;Ruido
ENGLAND;Clima, Solo e Meio Ambiente
ITALY;Assistencia Virtual e Educacao
USA;Robotica e Mecanizacao
GREECE;Assistencia Virtual e Educacao
INDIA;Assistencia Virtual e Educacao
AFRICA;Diagnostico e Protecao Fitossanitaria
CHINA;Ruido
AUSTRALIA;Diagnostico e Protecao Fitossanitaria
COLOMBIA;Clima, Solo e Meio Ambiente
BENIN;Diagnostico e Protecao Fitossanitaria
AUSTRALIA;Assistencia Virtual e Educacao
BRAZIL;Assistencia Virtual e Educacao
MOROCCO;Recursos Hidricos
MALAYSIA;Robotica e Mecanizacao
TURKEY;Robotica e Mecanizacao
INDIA;Assistencia Virtual e Educacao
ITALY;Assistencia Virtual e Educacao
INDIA;Cadeia Produtiva e Qualidade
INDIA;Assistencia Virtual e Educacao
INDIA;Assistencia Virtual e Educacao
BANGLADESH;Assistencia Virtual e Educacao
PHILIPPINES;Robotica e Mecanizacao
INDIA;Assistencia Virtual e Educacao
POLAND;Assistencia Virtual e Educacao
EGYPT;Assistencia Virtual e Educacao
JAPAN;Visao Computacional e Fenotipagem
INDIA;Assistencia Virtual e Educacao
HUNGARY;Assistencia Virtual e Educacao
IRAN;Assistencia Virtual e Educacao
INDIA;Agricultura de Precisao e Cultivo
USA;Ruido
ITALY;Visao Computacional e Fenotipagem
ITALY;Assistencia Virtual e Educacao
POLAND;Clima, Solo e Meio Ambiente
CHINA;Robotica e Mecanizacao
INDIA;Assistencia Virtual e Educacao
SWITZERLAND;IA: Arquiteturas e Metodos
CHINA;Robotica e Mecanizacao
INDIA;Governanca, Gestao e Impacto Social
USA;Assistencia Virtual e Educacao
AUSTRALIA;Ruido
INDIA;Diagnostico e Protecao Fitossanitaria
POLAND;Mercado Risco e Previsao
EGYPT;Assistencia Virtual e Educacao
INDIA;Diagnostico e Protecao Fitossanitaria
ITALY;Diagnostico e Protecao Fitossanitaria
INDIA;Assistencia Virtual e Educacao
USA;Assistencia Virtual e Educacao
INDIA;IoT e Sensores
IRAN;Clima, Solo e Meio Ambiente
INDIA;Assistencia Virtual e Educacao
GERMANY;Assistencia Virtual e Educacao
CHINA;Mercado Risco e Previsao
FRANCE;Diagnostico e Protecao Fitossanitaria
ARABIA;Assistencia Virtual e Educacao
AUSTRALIA;Mercado Risco e Previsao
USA;Assistencia Virtual e Educacao
AUSTRALIA;Assistencia Virtual e Educacao
INDIA;Ruido
ECUADOR;Assistencia Virtual e Educacao
INDONESIA;Assistencia Virtual e Educacao
TURKIYE;IA: Arquiteturas e Metodos
KOREA;Assistencia Virtual e Educacao
EMIRATES;Diagnostico e Protecao Fitossanitaria
TUNISIA;IoT e Sensores
MOROCCO;Cadeia Produtiva e Qualidade
ITALY;Assistencia Virtual e Educacao
KOREA;Assistencia Virtual e Educacao
CANADA;Mercado Risco e Previsao
USA;Assistencia Virtual e Educacao
NORWAY;Assistencia Virtual e Educacao
ARABIA;Assistencia Virtual e Educacao
MEXICO;Assistencia Virtual e Educacao
IRELAND;Assistencia Virtual e Educacao
INDIA;Diagnostico e Protecao Fitossanitaria
GERMANY;Assistencia Virtual e Educacao
INDIA;Clima, Solo e Meio Ambiente
USA;Assistencia Virtual e Educacao
USA;Assistencia Virtual e Educacao
BENIN;Robotica e Mecanizacao
GERMANY;Cadeia Produtiva e Qualidade
CHINA;Robotica e Mecanizacao
BELGIUM;Assistencia Virtual e Educacao
AUSTRALIA;Assistencia Virtual e Educacao
CHINA;IA: Arquiteturas e Metodos
USA;Assistencia Virtual e Educacao
IRAN;Recursos Hidricos
CHINA;Assistencia Virtual e Educacao
CHINA;Governanca, Gestao e Impacto Social
ETHIOPIA;Assistencia Virtual e Educacao
VENEZUELA;Assistencia Virtual e Educacao
INDIA;Assistencia Virtual e Educacao
ENGLAND;Assistencia Virtual e Educacao
COLOMBIA;Robotica e Mecanizacao
NETHERLANDS;Governanca, Gestao e Impacto Social
CYPRUS;Assistencia Virtual e Educacao
CHINA;Diagnostico e Protecao Fitossanitaria
IRAN;Governanca, Gestao e Impacto Social
INDIA;Assistencia Virtual e Educacao
POLAND;Assistencia Virtual e Educacao
PAKISTAN;Assistencia Virtual e Educacao
CHINA;Diagnostico e Protecao Fitossanitaria
SPAIN;Assistencia Virtual e Educacao
CHINA;Cadeia Produtiva e Qualidade
CHINA;Ruido
OMAN;Robotica e Mecanizacao
INDIA;Diagnostico e Protecao Fitossanitaria
TUNISIA;Assistencia Virtual e Educacao
GERMANY;Ruido
CHINA;Mercado Risco e Previsao
CHINA;Assistencia Virtual e Educacao
CANADA;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
EGYPT;Mercado Risco e Previsao
NORWAY;Mercado Risco e Previsao
ROMANIA;Clima, Solo e Meio Ambiente
SPAIN;Robotica e Mecanizacao
JAPAN;Ruido
CANADA;Assistencia Virtual e Educacao
ARABIA;Assistencia Virtual e Educacao
INDIA;Assistencia Virtual e Educacao
USA;Mercado Risco e Previsao
USA;Mercado Risco e Previsao
TUNISIA;Assistencia Virtual e Educacao
USA;Assistencia Virtual e Educacao
CYPRUS;Assistencia Virtual e Educacao
USA;Robotica e Mecanizacao
CHINA;Assistencia Virtual e Educacao
CHINA;Recursos Hidricos
ROMANIA;Mercado Risco e Previsao
NETHERLANDS;Ruido
MALAYSIA;Assistencia Virtual e Educacao
LANKA;Assistencia Virtual e Educacao
AUSTRALIA;Assistencia Virtual e Educacao
INDIA;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
IRAN;Clima, Solo e Meio Ambiente
TAIWAN;Diagnostico e Protecao Fitossanitaria
SWEDEN;Assistencia Virtual e Educacao
INDIA;Assistencia Virtual e Educacao
CHINA;Diagnostico e Protecao Fitossanitaria
USA;Mercado Risco e Previsao
GERMANY;Cadeia Produtiva e Qualidade
USA;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
BRAZIL;Assistencia Virtual e Educacao
AUSTRALIA;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
JORDAN;Assistencia Virtual e Educacao
IRAN;Assistencia Virtual e Educacao
INDIA;IoT e Sensores
GERMANY;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
INDIA;Ruido
KOREA;Clima, Solo e Meio Ambiente
USA;Diagnostico e Protecao Fitossanitaria
SPAIN;Assistencia Virtual e Educacao
KOREA;Assistencia Virtual e Educacao
INDIA;Mercado Risco e Previsao
CHINA;Mercado Risco e Previsao
CHINA;Assistencia Virtual e Educacao
IRAN;Clima, Solo e Meio Ambiente
SENEGAL;Assistencia Virtual e Educacao
GERMANY;Robotica e Mecanizacao
INDIA;Assistencia Virtual e Educacao
JAPAN;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
MOROCCO;Diagnostico e Protecao Fitossanitaria
EGYPT;Mercado Risco e Previsao
GREECE;Assistencia Virtual e Educacao
BANGLADESH;Assistencia Virtual e Educacao
IRAN;Assistencia Virtual e Educacao
TURKIYE;Assistencia Virtual e Educacao
TAIWAN;Assistencia Virtual e Educacao
AFRICA;Assistencia Virtual e Educacao
IRELAND;Diagnostico e Protecao Fitossanitaria
INDIA;Mercado Risco e Previsao
TURKIYE;Assistencia Virtual e Educacao
INDIA;Assistencia Virtual e Educacao
TURKIYE;Assistencia Virtual e Educacao
SPAIN;Assistencia Virtual e Educacao
REPUBLIC;Assistencia Virtual e Educacao
FRANCE;Mercado Risco e Previsao
IRAN;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
INDIA;Assistencia Virtual e Educacao
USA;Governanca, Gestao e Impacto Social
CHINA;Assistencia Virtual e Educacao
INDIA;Ruido
CHINA;Assistencia Virtual e Educacao
INDIA;Assistencia Virtual e Educacao
PHILIPPINES;Assistencia Virtual e Educacao
CANADA;Ruido
CHINA;Assistencia Virtual e Educacao
PORTUGAL;Clima, Solo e Meio Ambiente
CANADA;Ruido
USA;Diagnostico e Protecao Fitossanitaria
